ID,Identifier,Title,Type,Creator,Creation_Date,Image_URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
AK-MAK-1335,http://hdl.handle.net/10934/RM0001.COLLECT.980,Fragment van een Boeddha-beeld,beeldhouwwerk,anonymous,1600,https://lh3.googleusercontent.com/RMLSOBM8pVdBvDVwe3Ngx_HdICceiupMOhS3zyZhDG7obzJuS2lvpyheCjQyFNS6_FyNVVcxW55B9EMO-3EUR1045Ds=s0,,,,
AK-MAK-1336,http://hdl.handle.net/10934/RM0001.COLLECT.981,Zittende monnik,beeldhouwwerk,anonymous,1800,https://lh3.googleusercontent.com/OD8pZZRu-YTH3EZA3DKOZmTpwsFJ6jZuaI4E_DB5MmwZQ8tE7OSBXkjE1tjkq681mydjBll6hMPPqrHJ0y97eDVIY4Pz=s0,,,,
AK-MAK-1337-A,http://hdl.handle.net/10934/RM0001.COLLECT.982,Fragment van een Boeddha-beeld,beeldhouwwerk,anonymous,1600,https://lh3.googleusercontent.com/Sweec00nifwl5h0iWBcgQhIW4Svn6Xo0Wz9J10YD5SzHP2_zR5-GtIm6vu4d0dxipJe6fk7yK7Hq46PPVdYnP8D6GQ=s0,,,,
AK-MAK-1337-B,http://hdl.handle.net/10934/RM0001.COLLECT.983,Fragment van een Boeddha-beeld,beeldhouwwerk,anonymous,1600,https://lh3.googleusercontent.com/g7gXdifhA485r-RjbQxXpITx5jNG0TMlMLAkwa8Dos0rC2qQBnRKDEpz9KoaXcPDEhL_q_QHtC5YMpUE2GtciYRovQ=s0,,,,
AK-MAK-1337-C,http://hdl.handle.net/10934/RM0001.COLLECT.984,Fragment van een Boeddha-beeld,beeldhouwwerk,anonymous,1600,https://lh3.googleusercontent.com/kYyM2QqXpCoPJHdLK7rePYpHHS16Sx4-IQxTOb2hh07KWAJ63FndX3nTCsOsXG0Wq7gvR1RF9FBcUWRZndYH1thb5aY=s0,,,,
AK-MAK-1337-D,http://hdl.handle.net/10934/RM0001.COLLECT.985,Fragment van een Boeddha-beeld,beeldhouwwerk,anonymous,1600,https://lh3.googleusercontent.com/p5twezvntliHOk4Pnv2Am7VXZugsg0mPYYAbeUiEFTomA8rlcGXElLZjZ-Hn--f2Vhc__yiyxjKN0h-5lnpRtRJiY0M=s0,,,,
AK-MAK-1337-E,http://hdl.handle.net/10934/RM0001.COLLECT.986,Fragment van een Boeddha-beeld,beeldhouwwerk,anonymous,1600,https://lh3.googleusercontent.com/GshOLT8BRXW1x3SSYPbkFUlPSxBwDo-a4egtB_7dswpR1BelmsvGDp8zvhMUp5PNfV3uOHpcX7Zo0AJsksw9HJppoP0=s0,,,,
AK-MAK-1337-F,http://hdl.handle.net/10934/RM0001.COLLECT.987,Fragment van een Boeddha-beeld,beeldhouwwerk,anonymous,1600,https://lh3.googleusercontent.com/xQM6qYBs0V8Ixdq76ZJ8OA7VTv-MHA5913FPCCcGIBORiXAA1T1mjBw63X1-mLo1WbIpulhZpFMtBDHe4Sssfu-_1g=s0,,,,
AK-MAK-1338,http://hdl.handle.net/10934/RM0001.COLLECT.988,Fragment van een beeldhouwwerk,beeldhouwwerk,anonymous,1200,https://lh3.googleusercontent.com/nK4E1ObybG52Eg2fjn0jbSHOgavNUhG6kNJGtXRgQRTPOVK0pb2_L11EPqBnEjHJRNXCRBMHOrj36VqrqZ0UQNht8K7n=s0,,,,
AK-MAK-1339,http://hdl.handle.net/10934/RM0001.COLLECT.1731,Vis,beeldhouwwerk,anonymous,1600,https://lh3.googleusercontent.com/Q1Higp-aNUQd7Be7krr-8VQD8ZOwvTSalIL5zBcbl2WeGAhfsyAIZEAlLYZ92Cl7lxxIyrCQG01JtmOTo1CdhTCLJ7HG=s0,,,,
